Genes,DNP_mean,DP_mean,DNP_vs_DP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
HBA1,19.982293832514582,19.423019493099194,1.02879440756439,2.520275831130116,0.013498650134986502,0.04898703678019295,2.361898552365918,0.018181616824233304,0.05761779979510555,1.0,1.0
HBB,19.798465179339214,19.189553167262147,1.0317314325544529,2.6880187500057326,0.007799220077992201,0.03374662533746626,2.4711192946718565,0.013469087899621533,0.04810388535579119,1.0,1.0
HBD,18.716019362388728,18.10628454655449,1.0336753139091843,2.7744184934963303,0.006799320067993201,0.03374662533746625,2.55303485140131,0.01067888101981046,0.04072454626198904,1.0,1.0
HES7,18.29858277285406,19.482076510340306,0.9392521768992081,-3.634583643060572,0.0006999300069993001,0.01211417319806481,-3.5946244660269917,0.00032485981427142507,0.008121495356785626,0.9310344827586207,0.9333333333333333
HGFAC,16.65644201358411,16.238607939973647,1.0257309047151697,3.7788951374556214,0.0005999400059994001,0.01211417319806481,3.4595266904439073,0.0005411256449069904,0.010372503605440276,0.9827586206896551,1.0
HP,20.644270914753818,20.26990019775222,1.0184692925643073,0.7540554764658285,0.4530546945305469,0.6058511795879236,-0.3140096341295729,0.7535137216139831,0.879930262587946,1.0,1.0
HPR,18.815018083784654,18.734051845432983,1.0043218754287482,0.4094365308431114,0.6776322367763223,0.789985768262552,0.409577783647269,0.6821156967763391,0.8316227103566476,1.0,1.0
HPX,20.18515013063979,20.19049445663382,0.9997353048482537,-0.09249704130943685,0.9235076492350764,0.9619871346198713,-0.054610371152969205,0.9564488761051453,0.969373860917377,1.0,1.0
HRG,18.155984657360925,17.908732141619122,1.0138062546129214,2.3865182715320086,0.0163983601639836,0.05624437556244375,1.9250155831421645,0.05422740874735697,0.129799648597397,1.0,1.0
HSPG2,15.562609705777765,15.741546967376783,0.9886328032454592,-1.2630070361028862,0.21537846215378462,0.34984001599840014,-1.4242136754272265,0.15438462735243555,0.280133396405629,0.9655172413793104,0.9333333333333333
IGFALS,17.29520595042096,17.113662177208727,1.0106081194856122,1.4111502645807528,0.15728427157284272,0.28311168883111687,1.3516066860359877,0.17650117031431412,0.3102559634431303,1.0,1.0
IGHA1,22.144470640010862,22.298848933332316,0.9930768492228902,-0.9547513070881715,0.35226477352264773,0.4984878870603506,-1.269691129306534,0.20419467384223178,0.3480591031401678,1.0,1.0
IGHA2,21.515383517091767,21.627941836651264,0.9947956989893161,-1.05993472687394,0.29947005299470053,0.4375374150896599,-0.9966392735416879,0.3189396356238948,0.4752411789097771,1.0,1.0
IGHD,16.604571435325788,17.043123500370942,0.9742680932262441,-1.548020958186346,0.12488751124887511,0.2303253281229254,-1.5920871059471497,0.11136513387311532,0.21600995794354266,0.9310344827586207,0.7333333333333333
IGHG1,20.344282655602004,20.47351798419003,0.9936876833435357,-1.3680367515996277,0.1718828117188281,0.2997956018351653,-0.9147237168122341,0.36033669034008264,0.5197163802981961,1.0,1.0
